"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan",0.979084629785037,0.979084629785037,0.979084629785037,0.979084629785037,0.979084629785037,0.979084629785037,0.975921502808082,0.975921502808082,0.975921502808082,0.975921502808082,0.975921502808082,0.982280033567878,0.97976244270867,0.979665612291008,0.974953198631463,0.974146278484281,0.973694403201859,0.974081724872507,0.9847653476212,0.987702536956943,0.988703117939449,0.988348073074689,0.988703117939449,0.977987218384869,0.980892130914725,0.979601058679233,0.979601058679233,0.979601058679233,0.979601058679233
"AGO","Angola",0.970918597895552,0.970918597895552,0.970918597895552,0.970918597895552,0.970918597895552,0.970918597895552,0.970918597895552,0.970918597895552,0.970918597895552,0.968594667871667,0.968594667871667,0.968594667871667,0.968594667871667,0.968594667871667,0.955716222322639,0.955716222322639,0.955716222322639,0.955716222322639,0.955716222322639,0.955716222322639,0.955716222322639,0.955716222322639,0.953101801045769,0.982635078432638,0.982635078432638,0.982635078432638,0.982635078432638,0.95368278355174,0.95368278355174
"ALB","Albania",0.819992253566587,0.819217610225292,0.817991091601575,0.832063778968433,0.831127751597702,0.83103092118004,0.837679943192822,0.846104189529404,0.846523788005939,0.84603963591763,0.844877670905687,0.826447614744045,0.82483377444968,0.82483377444968,0.824930604867342,0.830837260344716,0.826479891549932,0.817410109095604,0.821670647472726,0.821670647472726,0.821670647472726,0.845039054935124,0.845039054935124,0.845039054935124,0.784487767090569,0.753405203021109,0.753405203021109,0.753405203021109,0.753405203021109
"AND","Andorra",0.848460396359176,0.848460396359176,0.836776192627978,0.829610741720999,0.821961138725712,0.814376089342199,0.81721644826028,0.810018720547415,0.801917242269705,0.80888903234136,0.791653217997547,0.799980633916468,0.784035891808147,0.784035891808147,0.750371183267704,0.750371183267704,0.750371183267704,0.750371183267704,0.750371183267704,0.750371183267704,0.74446452779033,0.74446452779033,0.74446452779033,0.74446452779033,0.74446452779033,0.74446452779033,0.74446452779033,0.74446452779033,0.74446452779033
"ARE","United Arab Emirates",0.832063778968433,0.833193467174488,0.835259182751275,0.810954747918146,0.834226324962882,0.841714543928733,0.826447614744045,0.823155380543541,0.812891356271383,0.829094312826803,0.846071912723517,0.85817571493125,0.853689238912917,0.85640049060745,0.860370537731586,0.869892195468337,0.85782067006649,0.849622361371119,0.829998063391647,0.80198179588148,0.761183913239946,0.736911755212704,0.728261571234911,0.721612549222129,0.716609644309599,0.704279904460655,0.70231101930153,0.70231101930153,0.70231101930153
"ARG","Argentina",0.879639790846298,0.879639790846298,0.879639790846298,0.879639790846298,0.879639790846298,0.879639790846298,0.883177328771545,0.883177328771545,0.883177328771545,0.883897101542831,0.883897101542831,0.883897101542831,0.883897101542831,0.883897101542831,0.883897101542831,0.883897101542831,0.883897101542831,0.883897101542831,0.738209282809373,0.738209282809373,0.737095733006262,0.790652637015041,0.790265315344394,0.790265315344394,0.787376541217481,0.700858563036602,0.700858563036602,0.730101349170486,0.730101349170486
"ARM","Armenia",0.733167645729779,0.733167645729779,0.733167645729779,0.733167645729779,0.733167645729779,0.733167645729779,0.748725066167452,0.759763733780905,0.768833516235233,0.771092892647344,0.763862888128591,0.759408688916145,0.756181008327416,0.75256600606804,0.75243689884449,0.747659931573172,0.743528500419599,0.740914079142728,0.741172293589826,0.740623587889742,0.744303143760893,0.744529081402104,0.744884126266865,0.754050739138855,0.74601381447292,0.74601381447292,0.74601381447292,0.74601381447292,0.74601381447292
"ATG","Antigua and Barbuda",0.875960234975147,0.86366277193209,0.86366277193209,0.86366277193209,0.895229488089859,0.895229488089859,0.895229488089859,0.895229488089859,0.895229488089859,0.895229488089859,0.895229488089859,0.895229488089859,0.836679362210316,0.87592795816926,0.87592795816926,0.87592795816926,0.87592795816926,0.87592795816926,0.831418242850688,0.827900071008973,0.833451681621587,0.833903556904009,0.756858821251049,0.755567749015557,0.599735330191724,0.599735330191724,0.599735330191724,0.599735330191724,0.599735330191724
"AUS","Australia",0.572590536440514,0.555580659737912,0.588567555354722,0.59240849525531,0.594829255696856,0.596959524885417,0.578400361500226,0.598411981150345,0.596346265573559,0.585436705183655,0.597443676973727,0.595442515008715,0.576076431476341,0.572525982828739,0.553385836937577,0.555871150990898,0.543605964753728,0.565651023174747,0.505842101865599,0.497902007617326,0.493544638822542,0.485410883738945,0.471854625266284,0.46249435155897,0.450874701439546,0.447356529597831,0.431379510683623,0.431379510683623,0.431379510683623
"AUT","Austria",0.723484603963592,0.717158350009683,0.710541604802789,0.703666645148796,0.699018785101027,0.692079271835259,0.68694725969918,0.681427925892454,0.67849073655671,0.66790394422568,0.661900458330644,0.652733845458653,0.64824736944032,0.641243302562778,0.63443289652056,0.629042669937383,0.624394809889613,0.621748111806856,0.617261635788522,0.61229100768188,0.610483506552192,0.610709444193403,0.606513459428055,0.603899038151185,0.487541152927506,0.482925569685624,0.474339939319605,0.471822348460396,0.471822348460396
"AZE","Azerbaijan",0.55977664450326,0.569136918210574,0.584920276289458,0.600058098250597,0.603963591762959,0.610709444193403,0.615873733135369,0.622199987089278,0.624717577948486,0.627945258537215,0.625944096572203,0.626589632689949,0.623491059324769,0.627590213672455,0.630236911755213,0.654767284229553,0.674456135820799,0.677974307662514,0.684236008004648,0.69124007488219,0.699922535665871,0.707927183525918,0.717771609321541,0.714092053450391,0.71338196372087,0.717965270156865,0.717965270156865,0.717965270156865,0.717965270156865
"BDI","Burundi",0.994512942999161,0.994512942999161,0.994512942999161,0.994512942999161,0.994512942999161,0.994609773416823,0.994609773416823,0.994609773416823,0.994609773416823,0.995384416758118,0.995384416758118,0.995384416758118,0.995384416758118,0.995384416758118,0.995384416758118,0.97976244270867,0.980763023691176,0.979310567426248,0.979601058679233,0.979471951455684,0.980504809244077,0.980504809244077,0.972532438189917,0.973629849590085,0.97856820089084,0.97976244270867,0.97582467239042,0.97582467239042,0.97582467239042
"BEL","Belgium",0.699406106771674,0.697404944806662,0.695210122006326,0.693531728100187,0.723839648828352,0.723065005487057,0.722516299786973,0.7221935317281,0.722258085339875,0.613097927829062,0.605674262474985,0.600832741591892,0.596023497514686,0.591859789555226,0.587341036731005,0.580369246659351,0.570266606416629,0.562326512168356,0.552708024013944,0.543283196694855,0.52227099606223,0.515073268349364,0.518881931444064,0.521657736750371,0.275934413530437,0.2491123878381,0.235136530888903,0.223516880769479,0.223516880769479
